出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,是否過夜,機型,機型分類,航班代碼,艙等,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數
2025/1/20,週一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A321neo,0,JX 745,經濟艙,11027,6120,11121,6217061.8,9689.25,88,91
2025/1/20,週一,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,TG 633,經濟艙,8625,6132,7243,4511285.89,12008.5,56,89
2025/1/20,週一,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787,1,TG 635,經濟艙,10727,6125,11965,6154912.25,10575,54,87
2025/1/20,週一,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A320,0,TG 637,經濟艙,8431,7195,8477.5,2365640.73,7843,75,88
2025/1/20,週一,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期二, 1月 21)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 565,經濟艙,6326,4641,5861,1589540.87,5860.5,30,91
2025/1/20,週一,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A321,0,VZ 567,經濟艙,6403,5227,5861,1870280.24,6361,69,91
2025/1/20,週一,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 569,經濟艙,6476,5227,6487,1693209.7,5860,69,91
2025/1/21,週二,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,16141,8929,16401,15260662.68,17273.5,32,91
2025/1/21,週二,上午8:25,早晨班機,TPE,上午11:30,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 211,經濟艙,17706,13697,16532,9376351.8,16930.25,81,91
2025/1/21,週二,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期三, 1月 22)",凌晨抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 61,經濟艙,13602,7822,13723,11372281.45,16339,79,91
2025/1/21,週二,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,經濟艙,17821,9050,18475.5,12591438.15,20692,66,90
2025/1/21,週二,清晨7:35,早晨班機,TPE,上午10:45,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Boeing 777,1,BR 75,經濟艙,17112,9046,18332,11537584.35,19799.75,63,91
2025/1/21,週二,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,No,Airbus A350,1,CI 831,經濟艙,22870,15414,23569,25306345.51,23088.25,89,87
2025/1/21,週二,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,No,Airbus A330,1,CI 833,經濟艙,17428,13634,17747,6983469.85,16224.5,55,91
2025/1/21,週二,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A330,1,CI 835,經濟艙,18167,14787,17240,10576125.76,18097.75,76,84
2025/1/21,週二,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期三, 1月 22)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,No,Airbus A321neo,0,CI 837,經濟艙,14873,8063,15161,3414622.54,15067.75,22,86
2025/1/21,週二,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A350,1,JX 741,經濟艙,17508,11182,18096.5,4527376.72,16405.75,56,86
2025/1/21,週二,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A350,1,JX 745,經濟艙,16243,9221,18094,17538114.73,21320.5,77,91
2025/1/21,週二,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,TG 633,經濟艙,13023,12025,13332,1154535.98,12727.25,76,79
2025/1/21,週二,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787,1,TG 635,經濟艙,12168,7240,13433.5,3213102.03,13394.5,57,80
2025/1/21,週二,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A320,0,TG 637,經濟艙,12971,11876,13342,401242.87,13443.75,41,71
2025/1/21,週二,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期三, 1月 22)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 565,經濟艙,6481,5227,5861,958249.94,6591,70,77
2025/1/21,週二,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A321,0,VZ 567,經濟艙,8446,6487,8151,1539888.41,7734,80,87
2025/1/22,週三,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,BR 201,經濟艙,18683,7086,18333,11636473.08,18207.5,90,90
2025/1/22,週三,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,16500,5418,16398,18204146.47,13604.25,90,90
2025/1/22,週三,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A330,1,BR 211,經濟艙,15749,9022,16398.5,21499326.68,13080.5,77,70
2025/1/22,週三,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,經濟艙,18025,6325,18335.5,4778447.48,17886.25,89,74
2025/1/22,週三,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,No,Airbus A350,1,CI 831,經濟艙,21687,6492,18222,29934239.27,23004.5,90,72
2025/1/22,週三,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,No,Airbus A330,1,CI 833,經濟艙,20361,17833,18211.5,12971686,20781,33,82
2025/1/22,週三,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A330,1,CI 835,經濟艙,18958,5953,17395,12106478.26,18745,90,70
2025/1/22,週三,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期四, 1月 23)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,No,Airbus A321neo,0,CI 837,經濟艙,19871,5145,22486,17450463.56,16952.75,90,77
2025/1/22,週三,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A350,1,JX 741,經濟艙,18825,6120,19456,4058225.09,19216,90,91
2025/1/22,週三,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A330-900neo,1,JX 745,經濟艙,15443,5214,13759,13048552.49,15452.25,90,91
2025/1/22,週三,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,TG 633,經濟艙,13236,6100,13446,3349902.66,12277.5,90,75
2025/1/22,週三,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787,1,TG 635,經濟艙,14085,9109,13446,7437855.59,15018.25,90,76
2025/1/22,週三,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A320,0,TG 637,經濟艙,13280,9110,13454.5,612744.17,13443.25,89,52
2025/1/22,週三,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期四, 1月 23)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 565,經濟艙,8838,4129,9061,2714575.27,10476,89,91
2025/1/22,週三,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A321,0,VZ 567,經濟艙,9423,5229,9981,1507014.71,8476.75,89,87
2025/1/22,週三,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 569,經濟艙,8262,5857,8151,2652443.11,7319,71,85
2025/1/22,週三,凌晨1:25,凌晨班機,TPE,凌晨4:25,凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 571,經濟艙,7879,4639,8151,2902113.82,8836.5,84,89
2025/1/23,週四,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,BR 201,經濟艙,18652,16396,18324,10018126.23,18724,63,79
2025/1/23,週四,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,18507,13702,18322,12254297.96,16430.25,90,86
2025/1/23,週四,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A330,1,BR 211,經濟艙,19521,11159,18332.5,42770735.32,16883,69,76
2025/1/23,週四,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期五, 1月 24)",凌晨抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 61,經濟艙,17552,11159,18322,16445950.02,17881.5,46,87
2025/1/23,週四,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,豪華經濟艙,19765,16382,18337,11630427.33,18327,91,90
2025/1/23,週四,清晨7:35,早晨班機,TPE,上午10:45,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Boeing 777,1,BR 75,經濟艙,18934,16375,18334,8510904.89,18442,78,68
2025/1/23,週四,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,No,Airbus A350,1,CI 831,經濟艙,19907,17667,18209,11032697.96,19479,43,57
2025/1/23,週四,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,No,Airbus A330,1,CI 833,經濟艙,22260,15430,24201,22139037.17,19435.25,57,79
2025/1/23,週四,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A330,1,CI 835,經濟艙,19634,16891,17412.5,9740962.09,22738,42,52
2025/1/23,週四,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A350,1,JX 741,經濟艙,18512,12560,18973,4957979.78,18718.5,44,90
2025/1/23,週四,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A330-900neo,1,JX 745,經濟艙,17014,12561,15645,6553808.96,16837.5,41,91
2025/1/23,週四,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期五, 1月 24)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 565,經濟艙,11063,9061,10891,760883.2,11581.5,21,91
2025/1/23,週四,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A321,0,VZ 567,經濟艙,12373,9061,13627,2219781.17,13089.25,28,91
2025/1/24,週五,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,24630,5420,28670,30854015.24,20944.25,91,61
2025/1/24,週五,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,經濟艙,20501,6325,18825,21778571.45,23918.25,91,38
2025/1/24,週五,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,No,Airbus A350,1,CI 831,經濟艙,25565,6494,30129,44918295.25,24970.25,91,83
2025/1/24,週五,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,No,Airbus A330,1,CI 833,經濟艙,23150,15358,18322,39481835.73,19244.75,74,69
2025/1/24,週五,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期六, 1月 25)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,No,Airbus A321neo,0,CI 837,經濟艙,27809,5147,29903,26144683.58,26906.25,91,49
2025/1/24,週五,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A350,1,JX 741,經濟艙,20673,6121,20480,3717015.86,17255.75,91,70
2025/1/24,週五,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A330-900neo,1,JX 745,經濟艙,18916,5215,18289,6867791.97,19053.75,91,85
2025/1/24,週五,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期六, 1月 25)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A321,0,VZ 565,經濟艙,13136,4129,13631,1152203.68,13175.5,91,91
2025/1/24,週五,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A321,0,VZ 567,經濟艙,13526,5229,13631,800413.16,13631.25,91,89
2025/1/24,週五,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 569,經濟艙,13186,10887,13631,359843.4,13176.25,81,90
2025/1/24,週五,凌晨1:25,凌晨班機,TPE,凌晨4:25,凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 571,經濟艙,12193,9979,12721,525560.67,12036.25,85,90
2025/1/25,週六,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,BR 201,豪華經濟艙,24133,11145,22270,25976683.79,24061.75,90,62
2025/1/25,週六,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,19481,13702,20517.5,3164589.96,20619.25,90,84
2025/1/25,週六,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A330,1,BR 211,經濟艙,21095,20492,20519,6344252.24,20513,80,45
2025/1/25,週六,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期日, 1月 26)",凌晨抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 61,經濟艙,20320,13756,20519,18970047.9,18900,80,87
2025/1/25,週六,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,經濟艙,22520,11145,20586,21491899.46,25981.5,90,40
2025/1/25,週六,清晨7:35,早晨班機,TPE,上午10:45,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Boeing 777,1,BR 75,經濟艙,26140,20492,31159,29959254.88,23452.5,80,53
2025/1/25,週六,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期日, 1月 26)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,No,Airbus A321neo,0,CI 837,經濟艙,17374,10144,15174,31225608.1,19950.25,28,41
2025/1/25,週六,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A350,1,JX 741,經濟艙,22135,7919,22378,3621464.57,22379.5,90,58
2025/1/25,週六,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A330-900neo,1,JX 745,經濟艙,22921,9243,20486,26099128.47,23789.25,90,69
2025/1/25,週六,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期日, 1月 26)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 565,經濟艙,12990,9979,13629,581199.05,13403.75,90,91
2025/1/26,週日,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,17143,13765,18455,4476313.11,16960,88,91
2025/1/26,週日,上午8:25,早晨班機,TPE,上午11:30,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 211,經濟艙,21623,20492,20520,9754970.57,21430.25,81,84
2025/1/26,週日,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,經濟艙,20773,18457,20518,893158.98,20817.25,68,74
2025/1/26,週日,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,No,Airbus A350,1,CI 831,經濟艙,20909,17854,20061,11874922.8,23027.5,24,38
2025/1/26,週日,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,No,Airbus A330,1,CI 833,經濟艙,22155,16790,20058.5,28024415.91,26250,66,90
2025/1/26,週日,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A330,1,CI 835,經濟艙,17600,16357,17243,1248120.57,18180.75,51,87
2025/1/26,週日,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期一, 1月 27)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,No,Airbus A321neo,0,CI 837,經濟艙,14542,10219,13834,9785337.61,14921,21,89
2025/1/26,週日,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A350,1,JX 741,經濟艙,21572,20477,22375,928293.65,20561.25,81,54
2025/1/26,週日,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A350,1,JX 745,經濟艙,19274,16311,19040,1287086.94,19297,46,90
2025/1/26,週日,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期一, 1月 27)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A321,0,VZ 565,經濟艙,11056,6492,10891,1201127.17,11351,1,91
2025/1/26,週日,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A321,0,VZ 567,經濟艙,13631,13627,13631,2.27,13631.5,75,91
2025/1/26,週日,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 569,經濟艙,11788,7242,11811,1150676.06,12038.75,1,91
2025/1/26,週日,凌晨1:25,凌晨班機,TPE,凌晨4:25,凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 571,經濟艙,11517,7242,11811,927858.69,11807.5,1,91
2025/1/27,週一,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,BR 201,經濟艙,15566,12755,15465,2074970.9,15478.25,11,91
2025/1/27,週一,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 205,經濟艙,12294,8832,12608,2608660.79,11886,3,91
2025/1/27,週一,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,No,Boeing 777,1,BR 211,經濟艙,14821,9730,15454,2210742.91,13648,10,83
2025/1/27,週一,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期二, 1月 28)",凌晨抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787-10,1,BR 61,經濟艙,10825,7884,9764,3036199.26,10337.75,84,91
2025/1/27,週一,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,No,Boeing 777,1,BR 67,經濟艙,17538,12722,18437,8001525.69,14853,4,91
2025/1/27,週一,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,No,Airbus A350,1,CI 831,經濟艙,14429,10953,13761,6353057.34,14546,53,91
2025/1/27,週一,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,No,Airbus A330,1,CI 833,經濟艙,14150,11198,13761,574239.05,14601.25,85,91
2025/1/27,週一,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A330,1,CI 835,經濟艙,12665,10427,13241.5,2940038.41,13114,47,90
2025/1/27,週一,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期二, 1月 28)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,No,Airbus A321neo,0,CI 837,經濟艙,11561,9948,10752,2823328.64,11793.25,47,91
2025/1/27,週一,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,No,Airbus A330-900neo,1,JX 741,經濟艙,16982,11126,18311,9630631.88,17364.25,4,91
2025/1/27,週一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,No,Airbus A321neo,0,JX 745,經濟艙,15568,10509,14977,6299713.59,16319.75,7,91
2025/1/27,週一,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 777,1,TG 633,經濟艙,13423,13252,13460,6622.06,13325,49,86
2025/1/27,週一,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Boeing 787,1,TG 635,經濟艙,13473,12073,13454.5,410026.44,13082.25,62,84
2025/1/27,週一,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,No,Airbus A320,0,TG 637,經濟艙,13421,13252,13456,7100.47,13419,49,50
2025/1/27,週一,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期二, 1月 28)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,No,Airbus A320,0,VZ 565,經濟艙,9227,5862,9062,1018366.96,9061.75,1,91
